host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,review_scores_rating,review_scores_location,reviews_per_month,host_tenure_days,host_verifications_count,property_grouped_encoded,bathrooms_count,bathroom_type_encoded,room_type_encoded,wifi,kitchen,hot water,hair dryer,dishes and silverware,essentials,hangers,bed linens,iron,refrigerator,cooking basics,smoke alarm,microwave,shampoo,self check-in,fire extinguisher,tv,dedicated workspace,heating,hot water kettle,city_Albany,city_Amsterdam,city_Asheville,city_Austin,city_Barcelona,city_Bologna,city_Bordeaux,city_Boston,city_Bozeman,city_Brisbane,city_Brussels,city_Chicago,"city_Clark County, NV",city_Dallas,city_Dublin,city_Edinburgh,city_Florence,city_Fort Worth,city_Hawaii,city_Hong Kong,city_Lisbon,city_Los Angeles,city_Lyon,city_Madrid,city_Mallorca,city_Melbourne,city_Mid North Coast,city_Milan,city_Montreal,city_Mornington Peninsula,city_Naples,city_Nashville,city_New Orleans,city_New York City,city_Northern Rivers,city_Ottawa,city_Portland,city_Porto,city_Prague,city_Quebec City,city_Rochester,city_San Francisco,city_Sunshine Coast,city_Sydney,city_Tasmania,city_Toronto,city_Twin Cities MSA,city_Valencia,city_Vancouver,city_Vaud,city_Venice,city_Victoria,city_Vienna,"city_Washington, D.C",city_Winnipeg,days_between_reviews
1.0,100.0,99.0,0.0,23.0,1.0,1.0,34.067314,-118.007027,1,1.5,1.0,1.0,55.0,1,29,364,3,0,0,0.0,0.0,5.0,5.0,0.08,3104.0,2,2.0,1.5,2.0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630
1.0,100.0,100.0,0.0,25.0,1.0,1.0,38.70156,-9.17461,3,0.0,2.0,2.0,74.0,1,3,3,24,23,0,23.0,138.0,4.54,4.63,1.45,2736.0,2,7.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356
1.0,100.0,96.0,1.0,2.0,1.0,1.0,52.37266,4.90456,4,1.0,1.0,3.0,264.0,1,3,238,470,59,6,53.0,255.0,4.95,4.97,3.2,4520.0,2,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402
1.0,100.0,100.0,1.0,9.0,1.0,1.0,21.271,-157.82232,3,1.0,0.0,2.0,178.0,1,14,341,48,26,0,31.0,156.0,4.77,4.83,2.36,2784.0,2,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575
1.0,100.0,99.0,0.0,2.0,1.0,0.0,34.02198,-118.35984,4,1.0,1.0,2.0,115.0,1,30,364,2,0,0,0.0,0.0,4.5,4.0,0.06,2975.0,2,1.0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
1.0,100.0,99.0,0.0,1.0,1.0,1.0,35.58318,-82.57022,4,1.0,1.0,1.0,65.0,1,12,238,313,17,2,14.0,102.0,4.94,4.97,4.13,4215.0,2,0.0,1.0,0.0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269
24.0,50.0,68.0,0.0,1.0,1.0,1.0,52.37563,4.83712,2,1.5,0.0,1.0,134.0,1,29,188,84,18,0,17.0,140.0,4.81,4.62,1.12,3484.0,2,1.0,1.5,0.0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189
1.0,100.0,100.0,0.0,1.0,1.0,1.0,34.04535,-118.44573,2,1.0,1.0,0.0,125.0,1,14,29,17,9,2,5.0,54.0,4.94,4.94,0.2,4817.0,2,0.0,1.0,2.0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
24.0,100.0,86.0,0.0,2.0,1.0,1.0,45.38828,-75.74086,6,3.5,3.0,3.0,250.0,1,0,0,30,24,0,25.0,255.0,4.93,4.9,1.7,538.0,2,2.0,3.5,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388
1.0,93.0,100.0,1.0,8.0,1.0,1.0,39.4673064,-0.3752272,2,1.0,0.0,1.0,231.0,1,19,107,78,39,1,44.0,234.0,4.92,4.9,3.59,3786.0,3,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,642
1.0,100.0,99.0,0.0,122.0,1.0,1.0,45.432965,12.3535052,6,1.0,2.0,4.0,109.0,1,16,332,3,3,0,3.0,18.0,2.33,3.33,0.43,511.0,2,0.0,1.0,0.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
1.0,100.0,100.0,1.0,1.0,1.0,1.0,34.41658,-118.51771,3,1.0,0.0,2.0,92.0,1,15,163,123,32,1,39.0,192.0,4.94,4.91,3.46,1127.0,2,4.0,1.0,0.0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053
72.0,10.0,47.0,0.0,2.0,1.0,1.0,39.47439,-0.33338,4,1.0,3.0,5.0,91.0,1,25,299,10,3,0,3.0,30.0,4.5,4.5,0.32,2810.0,2,0.0,1.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,754
4.0,100.0,68.0,1.0,1.0,1.0,1.0,40.41309,-3.69775,2,1.0,1.0,1.0,46.0,1,9,291,408,40,4,36.0,240.0,4.86,4.98,2.64,4645.0,1,0.0,1.0,2.0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4623
